epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,79.2398,1.69604,0.85426,0.97294,0.99415,0.79454,0.99129,0.5062,1.74305,1.85613,0.99144,0.000869946,0.000869946,0.000869946
69,81.4194,1.76476,0.84764,0.99989,1,0.60185,0.995,0.51101,1.78391,1.9018,0.99783,0.000879189,0.000879189,0.000879189
70,83.1012,1.82171,0.84084,1.00278,1,0.60185,0.995,0.51101,1.78391,1.9018,0.99783,0.000888323,0.000888323,0.000888323
71,84.4016,1.78924,0.83948,1.06561,1,0.60185,0.995,0.51101,1.78391,1.9018,0.99783,0.000897346,0.000897346,0.000897346
72,86.5776,1.83278,0.88525,0.98779,1,0.67494,0.995,0.49229,1.84493,1.83514,1.0054,0.00090626,0.00090626,0.00090626
73,88.356,1.70167,0.81593,0.96174,1,0.67494,0.995,0.49229,1.84493,1.83514,1.0054,0.000915063,0.000915063,0.000915063
74,89.855,1.72787,0.82653,0.98839,1,0.67494,0.995,0.49229,1.84493,1.83514,1.0054,0.000923756,0.000923756,0.000923756
75,91.9,1.57089,0.76639,1.00041,0.99507,0.84541,0.99217,0.50052,1.76346,1.66054,0.98018,0.00093234,0.00093234,0.00093234
76,93.4153,1.70045,0.82927,0.95949,0.99507,0.84541,0.99217,0.50052,1.76346,1.66054,0.98018,0.000940813,0.000940813,0.000940813
77,95.23,1.76084,0.79996,1.00719,0.99507,0.84541,0.99217,0.50052,1.76346,1.66054,0.98018,0.000949176,0.000949176,0.000949176
78,97.6768,1.8979,0.84156,0.9882,1,0.96475,0.995,0.51609,1.68582,1.48183,0.95916,0.00095743,0.00095743,0.00095743
79,99.5185,1.6358,0.95345,0.90069,1,0.96475,0.995,0.51609,1.68582,1.48183,0.95916,0.000965573,0.000965573,0.000965573
80,100.961,1.78655,0.82326,1.08032,1,0.96475,0.995,0.51609,1.68582,1.48183,0.95916,0.000973606,0.000973606,0.000973606
81,103.012,1.52935,0.73845,0.95751,0.98053,0.98395,0.99184,0.51525,1.68387,1.39377,0.95737,0.00098153,0.00098153,0.00098153
82,104.414,1.67498,0.78275,0.96821,0.98053,0.98395,0.99184,0.51525,1.68387,1.39377,0.95737,0.000989343,0.000989343,0.000989343
83,105.869,1.64926,0.91196,0.95928,0.98053,0.98395,0.99184,0.51525,1.68387,1.39377,0.95737,0.000997046,0.000997046,0.000997046
84,107.94,1.71298,0.80168,0.98889,0.97948,0.97936,0.99003,0.51138,1.72334,1.44561,0.96709,0.00100464,0.00100464,0.00100464
85,109.717,1.70476,0.79066,0.98199,0.97948,0.97936,0.99003,0.51138,1.72334,1.44561,0.96709,0.00101212,0.00101212,0.00101212
86,111.541,1.65641,0.9274,1.05966,0.97948,0.97936,0.99003,0.51138,1.72334,1.44561,0.96709,0.0010195,0.0010195,0.0010195
87,112.995,1.66607,0.79745,0.94186,0.97948,0.97936,0.99003,0.51138,1.72334,1.44561,0.96709,0.00102676,0.00102676,0.00102676
88,115.319,1.77616,0.86355,0.99166,0.96477,0.94074,0.99129,0.49327,1.75146,1.48882,0.97601,0.00103391,0.00103391,0.00103391
89,116.782,1.71529,0.80106,1.02322,0.96477,0.94074,0.99129,0.49327,1.75146,1.48882,0.97601,0.00104095,0.00104095,0.00104095
90,118.088,1.80485,0.85035,0.96174,0.96477,0.94074,0.99129,0.49327,1.75146,1.48882,0.97601,0.00104789,0.00104789,0.00104789
91,119.784,1.68055,0.76546,0.92558,0.96477,0.94074,0.99129,0.49327,1.75146,1.48882,0.97601,0.00105471,0.00105471,0.00105471
92,121.806,1.73667,0.80262,0.94711,1,0.81862,0.99333,0.49817,1.78292,1.44567,0.98407,0.00106142,0.00106142,0.00106142
